"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179348",62.2048174909901,6.47450817378164,0.456811045697833,14.1732741245148,1.34099579573513e-45,2.13620630260606e-42
"ENSG00000144730",118.538362559323,4.97142441368352,0.381765417372137,13.0221968451309,9.15000193059422e-39,7.28797653771829e-36
"ENSG00000178053",32.9365063162563,10.0224201341094,0.791357224411504,12.6648494825616,9.25978022706432e-37,4.91694330057115e-34
"ENSG00000144749",1030.41419943373,-7.28042429103242,0.577524153445611,-12.6062680627228,1.95010672097848e-36,7.76630001629681e-34
"ENSG00000269028",322053.7628469,-5.57652636037504,0.455646104440613,-12.2387227851344,1.93046503876825e-34,6.15046161351563e-32
"ENSG00000085276",1036.98827738284,-4.03920714835039,0.335296970667051,-12.0466556566695,2.01979794360593e-33,5.36256354027374e-31
"ENSG00000080819",790.51616393418,2.742896515848,0.231152094119115,11.8661979953102,1.77345618099921e-32,4.03587956618821e-30
"ENSG00000206538",33.1304736024068,8.43354244507713,0.738233467418686,11.4239503047267,3.17468423013794e-30,6.32158997326216e-28
"ENSG00000132182",540.110672184644,8.60476892878913,0.884261574590451,9.73102210482737,2.22347429938671e-22,3.93554950991448e-20
"ENSG00000017260",1077.17255006435,1.84511677336273,0.193471050194352,9.53691403188857,1.47145732337936e-21,2.34403151614332e-19
"ENSG00000163347",1246.41830933144,-3.86049064830737,0.410808174195471,-9.39730728549345,5.59772607437217e-21,8.10652512406806e-19
"ENSG00000173702",7950.06705018278,-4.90556344756965,0.526935571190526,-9.30960769356741,1.28305373603464e-20,1.70325383458598e-18
"ENSG00000168032",17.8410636144444,6.72796658944925,0.768237510288598,8.75766478380079,1.99336938808459e-18,2.4426441809375e-16
"ENSG00000163975",728.869812496966,-6.41866466850751,0.771295995465163,-8.32192142348212,8.65486821688499e-17,9.84800362106985e-15
"ENSG00000081307",498.191071348538,0.938607428297655,0.117486671710094,7.98905454240568,1.35977529674815e-15,1.44408136514653e-13
"ENSG00000163930",720.713190460978,1.51910917299279,0.191211092453809,7.94467074842827,1.94707255717975e-15,1.93855411474209e-13
"ENSG00000114841",300.497230305489,-4.63879526653622,0.591325202716896,-7.84474472798194,4.33835071579803e-15,4.06528981780368e-13
"ENSG00000242516",9.33273444205363,4.61004654728086,0.606498481223642,7.60108506451633,2.93657992866222e-14,2.59887323686606e-12
"ENSG00000114861",674.029634364264,-2.81416597328425,0.374071920468269,-7.52306125988136,5.35083364678127e-14,4.48625157859082e-12
"ENSG00000226360",14981.7950562413,-1.37097719245062,0.188629094822935,-7.26811096526517,3.64549286613585e-13,2.90363506787721e-11
"ENSG00000066405",668.862326729411,-8.27399133792563,1.16441116138885,-7.10573001383532,1.19688188062622e-12,9.07920398017893e-11
"ENSG00000163507",225.794828469333,2.20131072915008,0.310818678809795,7.08229871376929,1.41782619136233e-12,1.02663505583645e-10
"ENSG00000114455",591.518091047877,-8.93947879579484,1.27273403320403,-7.0238388874463,2.15853701289726e-12,1.43272894231056e-10
"ENSG00000144852",492.155913557922,-11.2022765366728,1.59417061464562,-7.02702485778984,2.10983790948276e-12,1.43272894231056e-10
"ENSG00000237676",8081.6093531067,-1.2892036894691,0.188761827706502,-6.82979024484567,8.503887911161e-12,5.41867737699179e-10
"ENSG00000177707",374.416971624567,-3.01096779392309,0.445198049712508,-6.76320975769652,1.34967608773067e-11,8.26936156828828e-10
"ENSG00000225770",11460.8816469794,-1.58972986868715,0.235789091123382,-6.74216886418756,1.56039574332621e-11,8.87753721113804e-10
"ENSG00000240622",13865.4163591425,-1.22229605774806,0.181273103290359,-6.74284290146574,1.55317120840432e-11,8.87753721113804e-10
"ENSG00000158186",8.12542824416574,5.45037270272661,0.817956395506556,6.66340251469179,2.67559546582704e-11,1.46973226795258e-09
"ENSG00000187098",71.3836999466612,4.36491131338264,0.65858711276803,6.62769013963391,3.40980280612295e-11,1.81060529005129e-09
"ENSG00000196653",208.749943104734,-9.96675019052724,1.50652364792462,-6.61572767494051,3.69728459371120e-11,1.89992721218773e-09
"ENSG00000082781",1024.04355366469,1.79290353382693,0.273646580723313,6.55189452427239,5.68116649359794e-11,2.82815569509423e-09
"ENSG00000151090",645.623388628178,-8.61210971353814,1.31723087135217,-6.53804120510599,6.23297543647458e-11,3.00882723342546e-09
"ENSG00000182606",2116.31557681419,-1.44217457510835,0.221304148405949,-6.51670827454573,7.18669998844351e-11,3.36718031811486e-09
"ENSG00000163946",828.92532581026,1.73054755980928,0.27080807171908,6.39031011455392,1.6554966596322e-10,7.53487479655458e-09
"ENSG00000230480",4424.08310254484,-1.46703505687966,0.230439912803423,-6.36623681649767,1.93722256457976e-10,8.57220984826543e-09
"ENSG00000240704",5.19972268466144,6.83823803401426,1.08723838026348,6.28954804957959,3.18391549383754e-10,1.37080469775222e-08
"ENSG00000114854",160.360023410485,6.09263078470452,0.970564939031223,6.27740663163243,3.44266870750307e-10,1.44320296080326e-08
"ENSG00000168386",374.669231689271,-9.3581119877341,1.4944079129728,-6.26208674786668,3.79859511197636e-10,1.55158000343034e-08
"ENSG00000228205",38540.7348271981,-1.29051804033869,0.206664417920471,-6.24451007737243,4.25130521655463e-10,1.69308230249288e-08
"ENSG00000160145",998.418847596152,-4.02159784360169,0.647603376989423,-6.20997046417096,5.29945609426724e-10,2.05903257516286e-08
"ENSG00000163686",130.560095081657,2.51973502324603,0.409550419650621,6.15244156115275,7.62990900581534e-10,2.89391548720568e-08
