"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000114353",1102.75502357085,-0.634536652332433,0.207799750783839,-3.05359679180992,0.00226115765422691,0.0551291770935322
"ENSG00000114853",44.4870293767987,-1.8054395034867,0.590921816297151,-3.05529336317279,0.0022484047767738,0.0551291770935322
"ENSG00000012171",474.434634659872,-1.29017365340975,0.425018826145065,-3.03556824790954,0.00240082881781642,0.0559746599680758
"ENSG00000176597",964.404158789249,0.758088328846128,0.249779966888373,3.03502453895719,0.00240516117050326,0.0559746599680758
"ENSG00000234123",133.014186983894,-1.12803134694713,0.370622960560637,-3.04360891521879,0.00233758807066209,0.0559746599680758
"ENSG00000144711",581.009195549659,-0.884024711229012,0.292030553397476,-3.02716514057961,0.00246859054639551,0.0565933593919926
"ENSG00000121578",463.24931999051,-0.668037790606344,0.222030353131534,-3.00876786071942,0.00262309457744063,0.0583923662456349
"ENSG00000221955",229.658179240524,-0.50696384338871,0.168372179299656,-3.010971560132,0.00260413242113528,0.0583923662456349
"ENSG00000273033",61.3772174917513,-1.45340127081582,0.485476007495649,-2.99376539391362,0.00275557739754733,0.0604652411804671
"ENSG00000114315",4029.80439206243,1.52562860182417,0.514806109022808,2.96350135533567,0.00304160722421628,0.0657222831948838
"ENSG00000179021",569.056231554545,0.393489017024376,0.132954995173268,2.95956550193227,0.00308073202476018,0.0657222831948838
"ENSG00000144820",79.3840226165454,-1.45053795034635,0.492265608088177,-2.94665710241232,0.00321229196579603,0.0675901432803111
"ENSG00000163817",1289.57645300422,-1.12173468141195,0.383104598366259,-2.9280115305208,0.00341137393798059,0.0698649382498424
"ENSG00000172936",1563.75938167374,-1.0346061303541,0.353092405467623,-2.93012852820753,0.00338821829234663,0.0698649382498424
"ENSG00000114268",194.366870534617,-0.744339013373257,0.255403565549942,-2.91436422107314,0.00356413812573269,0.0712806043116324
"ENSG00000129048",13.4184080646164,-1.34428939459638,0.461390390277728,-2.91356175361,0.00357331154426803,0.0712806043116324
"ENSG00000160746",193.413459842644,-0.757902007250263,0.261411474021254,-2.89926832817079,0.00374034644838381,0.0736560531374042
"ENSG00000224239",4.57885975028598,2.87883875789366,0.9957107330046,2.89124005845216,0.00383724885531254,0.0746077752121527
"ENSG00000172969",18.0028550071114,1.65747822331497,0.580862529191332,2.85347761306359,0.00432435746411191,0.0830276633109486
"ENSG00000151276",1194.66909430626,-0.881047850518362,0.310944065701325,-2.83346089442545,0.00460469415967158,0.087318644805624
"ENSG00000114771",49.7410035178373,1.30799157246126,0.46256861319919,2.82767039340391,0.00468880551760411,0.087829332622438
"ENSG00000168827",1042.55203829777,0.301006834914542,0.107080089223066,2.81104393074883,0.00493810430343645,0.0899896675598265
"ENSG00000213943",18065.9298052294,-0.877045087500795,0.312301149922274,-2.8083312780599,0.00497989696782894,0.0899896675598265
"ENSG00000244405",234.683456896401,1.37043888786854,0.487343561306209,2.81205908249902,0.00492254604799173,0.0899896675598265
"ENSG00000010319",29.6265321511978,1.32946712738529,0.474860836011867,2.79969840964537,0.0051150371249493,0.0903068623439325
"ENSG00000169379",144.730510851578,0.722669797841468,0.257978288479357,2.80128146481324,0.00509001027298355,0.0903068623439325
"ENSG00000144791",845.493937523572,-0.573375983123265,0.205698295722356,-2.78746102931833,0.0053122843290739,0.0916816711175002
"ENSG00000188313",643.671416004448,-0.814612041660016,0.292063736390476,-2.78915846153155,0.00528452017497448,0.0916816711175002
"ENSG00000136068",5195.95519804708,-1.05233837169303,0.378237577268878,-2.78221529254601,0.00539892120845701,0.092141588624333
"ENSG00000057019",543.214147898466,-1.61487672619611,0.587207546704493,-2.75009532023059,0.00595779309635775,0.0963281073263737
"ENSG00000163376",339.83975871964,0.723397293110043,0.26185758841301,2.76255997580287,0.00573500241814728,0.0963281073263737
"ENSG00000163823",2.54441365179777,-3.7492915670723,1.35843487637283,-2.76000832449423,0.00577998886962714,0.0963281073263737
"ENSG00000168016",335.60173842188,-1.55775273736527,0.565992377056764,-2.75225038447654,0.00591872486258278,0.0963281073263737
"ENSG00000198406",2378.62162958212,0.66606536915229,0.241689496486906,2.7558722196617,0.00585358598608178,0.0963281073263737
"ENSG00000144909",469.529910504542,0.549869382077688,0.200750864151708,2.73906358710442,0.00616144553578478,0.0985831285725565
"ENSG00000145040",2.969211833145,-3.38344640528473,1.23772474761905,-2.73360164430202,0.00626457843598428,0.0986402327980613
"ENSG00000163814",1590.62376558197,-0.617469363195862,0.227310469515912,-2.7164140943919,0.00659933190634875,0.0986402327980613
"ENSG00000168237",1255.94627018591,-0.948076070511307,0.348730346235154,-2.71865090247123,0.00655487484977331,0.0986402327980613
"ENSG00000168386",374.669231689271,1.07178309624748,0.392615012258888,2.72985765389112,0.00633616778171725,0.0986402327980613
"ENSG00000173706",119.235432540942,-1.30208239697316,0.479473271736859,-2.71565168222297,0.00661454686080749,0.0986402327980613
"ENSG00000234737",20160.4162151205,-0.883817191954263,0.324363741542741,-2.72477184950033,0.00643459340737492,0.0986402327980613
"ENSG00000240622",13865.4163591425,0.323105952585622,0.118905979209144,2.71732300372642,0.00658123453211509,0.0986402327980613
"ENSG00000226933",257.713575177183,0.893255024805274,0.329483937228449,2.71107305660832,0.00670658478198639,0.0990510983185682
"ENSG00000173402",1848.78274538801,-1.04471053879383,0.386360085416233,-2.70398154009192,0.0068514095288004,0.100226333678452
"ENSG00000283154",10.5417388786755,-2.64256444330484,0.9817521736591,-2.69168178508402,0.00710927422273062,0.103017407604851
"ENSG00000163635",14.6736374994805,1.34433353732421,0.504185602984627,2.66634653858849,0.00766806060050599,0.109056861873863
"ENSG00000163961",751.22043674858,0.520597857526825,0.195110746058632,2.66821724606794,0.0076254933512027,0.109056861873863
"ENSG00000185565",13.934558362465,2.00707248022401,0.758561523377375,2.64589280944258,0.00814756296599741,0.114813364364881
"ENSG00000156976",6012.61864184576,0.676053765214622,0.255962034843953,2.64122671796533,0.00826064200396483,0.115348601073545
"ENSG00000090402",463.871832093115,-2.79109152836117,1.06996567376301,-2.60858044029118,0.0090918640023895,0.125811739708741
"ENSG00000239219",4.24979354544252,2.86569394308679,1.10096433432424,2.60289443876101,0.00924404113772107,0.126775421317317
"ENSG00000223513",153.57005171246,-0.762949491370668,0.293571766200687,-2.59885172625597,0.00935361658574359,0.1271429652717
"ENSG00000213113",1382.44613083081,-0.714181214616053,0.276744064268964,-2.58065594469968,0.00986128066689614,0.132867781617127
"ENSG00000152601",3289.11962338982,0.522391954595709,0.203628549827013,2.56541607274369,0.0103052148492069,0.136455258692947
"ENSG00000272886",644.478979429743,0.621210277922332,0.241951720363467,2.56749684188702,0.0102435722506633,0.136455258692947
"ENSG00000003756",438.334619768674,0.524236578646094,0.206099212881195,2.5436127160189,0.0109712652938446,0.14403302129355
"ENSG00000144821",61.5634037122002,-0.691132937659174,0.27296008745575,-2.53199265907773,0.0113416365677322,0.147633506508785
"ENSG00000163605",1657.14052953962,0.576258965679535,0.228910652873584,2.5173968902084,0.0118225568192855,0.152600397264055
"ENSG00000273486",10.7910950459447,-1.78562554930315,0.711022383230328,-2.5113492787536,0.0120270632509893,0.153946409612663
"ENSG00000085274",280.201611715417,0.550785307853004,0.220239058987724,2.50085207585137,0.0123894915647725,0.157274868128021
"ENSG00000260633",9.63659199683944,-1.91241441708263,0.767022551460406,-2.49329620549149,0.0126563215084529,0.159345162598226
"ENSG00000206530",153.934220012574,-0.801315327970868,0.321990088127706,-2.48863352480917,0.012823507380204,0.160137458016205
